date,hour,type,1141A,1142A,1143A,1147A,1148A,1149A,1150A,1151A,1152A,1153A,1154A,1155A,1156A,1157A,1158A,1159A,1162A,1163A,1164A,1165A,1166A,1167A,1168A,1169A,1170A,1171A,1172A,1173A,1177A,1180A,1181A,1182A,1186A,1188A,1189A,1190A,1191A,1192A,1194A,1195A,1196A,1200A,1201A,1203A,1204A,1205A,1206A,1207A,1209A,1210A,1211A,1212A,1213A,1215A,1216A,1218A,1220A,1221A,1223A,1224A,1226A,1227A,1228A,1230A,1231A,1232A,1233A,1234A,1235A,1236A,1239A,1240A,1241A,1242A,1243A,1244A,1245A,1247A,1250A,1252A,1253A,1255A,1256A,1257A,1258A,1260A,1262A,1263A,1264A,1266A,1267A,1268A,1269A
20250214,23,AQI,34.0,39.0,34.0,36.0,39.0,33.0,34.0,63.0,73.0,73.0,70.0,77.0,64.0,64.0,68.0,77.0,44.0,47.0,46.0,57.0,50.0,52.0,41.0,37.0,47.0,40.0,44.0,104.0,120.0,120.0,122.0,119.0,74.0,42.0,52.0,42.0,39.0,44.0,49.0,46.0,83.0,72.0,85.0,100.0,95.0,115.0,77.0,85.0,98.0,78.0,78.0,83.0,79.0,53.0,55.0,55.0,104.0,104.0,103.0,84.0,79.0,82.0,95.0,92.0,104.0,98.0,85.0,23.0,23.0,33.0,23.0,25.0,29.0,35.0,38.0,34.0,35.0,74.0,83.0,38.0,42.0,21.0,34.0,50.0,25.0,20.0,110.0,115.0,123.0,118.0,73.0,59.0,43.0
20250214,23,PM2.5,17.0,19.0,21.0,19.0,15.0,16.0,17.0,41.0,53.0,53.0,51.0,56.0,46.0,45.0,48.0,56.0,29.0,31.0,29.0,35.0,30.0,30.0,27.0,22.0,24.0,28.0,30.0,78.0,91.0,91.0,92.0,90.0,54.0,29.0,36.0,29.0,27.0,27.0,34.0,27.0,61.0,52.0,63.0,75.0,71.0,87.0,56.0,63.0,73.0,57.0,57.0,61.0,58.0,31.0,34.0,33.0,78.0,78.0,77.0,62.0,58.0,60.0,71.0,68.0,78.0,73.0,63.0,9.0,9.0,15.0,7.0,11.0,20.0,19.0,19.0,17.0,16.0,54.0,61.0,20.0,24.0,9.0,19.0,29.0,11.0,3.0,83.0,87.0,93.0,89.0,53.0,42.0,30.0
20250214,23,PM2.5_24h,13.0,16.0,17.0,15.0,15.0,11.0,12.0,45.0,49.0,50.0,46.0,47.0,45.0,48.0,48.0,46.0,20.0,22.0,19.0,22.0,22.0,19.0,19.0,21.0,18.0,18.0,16.0,57.0,68.0,65.0,63.0,54.0,53.0,21.0,24.0,25.0,23.0,22.0,25.0,25.0,43.0,36.0,44.0,49.0,52.0,60.0,46.0,50.0,49.0,53.0,52.0,58.0,60.0,36.0,34.0,39.0,71.0,69.0,56.0,50.0,51.0,46.0,53.0,51.0,50.0,59.0,43.0,19.0,27.0,22.0,19.0,25.0,32.0,38.0,32.0,27.0,34.0,42.0,42.0,18.0,24.0,23.0,20.0,26.0,7.0,8.0,75.0,78.0,92.0,90.0,60.0,58.0,59.0
20250214,23,PM10,34.0,39.0,34.0,36.0,28.0,33.0,34.0,76.0,78.0,85.0,78.0,78.0,74.0,77.0,85.0,75.0,44.0,47.0,46.0,64.0,50.0,53.0,41.0,37.0,47.0,39.0,44.0,107.0,119.0,132.0,127.0,127.0,97.0,36.0,48.0,30.0,34.0,44.0,46.0,46.0,96.0,70.0,96.0,116.0,99.0,125.0,85.0,90.0,103.0,80.0,83.0,75.0,93.0,56.0,60.0,59.0,109.0,112.0,97.0,92.0,67.0,87.0,101.0,100.0,92.0,117.0,92.0,23.0,18.0,33.0,13.0,20.0,22.0,35.0,38.0,34.0,35.0,86.0,80.0,38.0,42.0,21.0,34.0,50.0,25.0,20.0,124.0,120.0,130.0,110.0,65.0,57.0,42.0
20250214,23,PM10_24h,34.0,38.0,33.0,36.0,33.0,31.0,32.0,68.0,74.0,84.0,70.0,72.0,74.0,80.0,77.0,70.0,36.0,41.0,37.0,41.0,41.0,42.0,38.0,36.0,46.0,36.0,38.0,79.0,93.0,102.0,95.0,89.0,90.0,43.0,50.0,48.0,39.0,44.0,44.0,50.0,71.0,58.0,71.0,82.0,83.0,85.0,69.0,72.0,74.0,75.0,77.0,74.0,84.0,60.0,63.0,65.0,104.0,98.0,81.0,72.0,75.0,66.0,81.0,71.0,74.0,92.0,68.0,33.0,44.0,46.0,31.0,45.0,48.0,55.0,51.0,43.0,56.0,68.0,64.0,41.0,46.0,41.0,38.0,42.0,20.0,20.0,108.0,107.0,127.0,111.0,61.0,73.0,72.0
20250214,23,SO2,5.0,6.0,7.0,9.0,6.0,6.0,6.0,4.0,5.0,5.0,3.0,6.0,7.0,6.0,4.0,8.0,8.0,6.0,5.0,7.0,6.0,8.0,6.0,4.0,6.0,5.0,2.0,8.0,9.0,10.0,7.0,12.0,7.0,6.0,6.0,6.0,7.0,5.0,4.0,6.0,7.0,5.0,7.0,4.0,7.0,7.0,10.0,10.0,10.0,9.0,10.0,9.0,8.0,7.0,3.0,3.0,2.0,4.0,7.0,6.0,8.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,5.0,4.0,5.0,7.0,6.0,7.0,5.0,5.0,7.0,6.0,7.0,4.0,6.0,4.0,5.0,3.0,5.0,3.0,4.0,5.0,3.0,4.0,4.0,6.0,5.0
20250214,23,SO2_24h,6.0,6.0,8.0,9.0,6.0,6.0,6.0,4.0,6.0,4.0,4.0,6.0,8.0,7.0,5.0,7.0,9.0,6.0,5.0,7.0,6.0,8.0,6.0,6.0,7.0,6.0,2.0,9.0,9.0,11.0,7.0,11.0,6.0,6.0,6.0,7.0,8.0,6.0,5.0,7.0,8.0,9.0,7.0,6.0,8.0,7.0,10.0,10.0,10.0,8.0,9.0,10.0,8.0,8.0,4.0,5.0,4.0,4.0,7.0,6.0,9.0,6.0,8.0,7.0,6.0,7.0,5.0,6.0,5.0,5.0,5.0,8.0,7.0,7.0,6.0,6.0,8.0,6.0,7.0,5.0,7.0,4.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,6.0,4.0
20250214,23,NO2,36.0,37.0,51.0,36.0,77.0,38.0,39.0,61.0,53.0,38.0,51.0,62.0,37.0,44.0,65.0,31.0,47.0,56.0,48.0,53.0,45.0,60.0,31.0,36.0,32.0,36.0,46.0,32.0,38.0,37.0,33.0,50.0,88.0,52.0,52.0,59.0,56.0,58.0,51.0,32.0,47.0,31.0,68.0,46.0,34.0,40.0,61.0,60.0,63.0,50.0,52.0,53.0,68.0,27.0,32.0,28.0,36.0,35.0,80.0,61.0,83.0,62.0,78.0,83.0,67.0,75.0,55.0,19.0,13.0,17.0,10.0,14.0,22.0,24.0,23.0,36.0,22.0,48.0,54.0,35.0,32.0,18.0,26.0,24.0,27.0,21.0,67.0,64.0,30.0,36.0,32.0,26.0,24.0
20250214,23,NO2_24h,32.0,35.0,40.0,33.0,57.0,36.0,36.0,40.0,44.0,26.0,39.0,37.0,31.0,40.0,46.0,30.0,34.0,28.0,34.0,36.0,30.0,40.0,46.0,51.0,48.0,48.0,49.0,24.0,44.0,43.0,32.0,38.0,70.0,37.0,47.0,43.0,43.0,62.0,46.0,42.0,56.0,38.0,55.0,58.0,47.0,52.0,46.0,44.0,50.0,48.0,51.0,40.0,55.0,28.0,35.0,31.0,55.0,27.0,54.0,52.0,56.0,51.0,64.0,63.0,40.0,53.0,49.0,29.0,27.0,25.0,14.0,32.0,38.0,22.0,19.0,21.0,18.0,40.0,39.0,31.0,25.0,17.0,25.0,20.0,18.0,18.0,45.0,54.0,29.0,31.0,18.0,18.0,22.0
20250214,23,O3,57.0,44.0,47.0,58.0,17.0,56.0,50.0,16.0,17.0,33.0,18.0,13.0,23.0,17.0,14.0,38.0,23.0,9.0,21.0,21.0,25.0,10.0,38.0,35.0,42.0,31.0,23.0,37.0,66.0,68.0,69.0,62.0,3.0,25.0,22.0,21.0,28.0,26.0,27.0,38.0,37.0,46.0,15.0,28.0,54.0,42.0,14.0,13.0,16.0,27.0,22.0,28.0,11.0,53.0,42.0,51.0,37.0,39.0,4.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,5.0,73.0,73.0,66.0,73.0,79.0,72.0,66.0,69.0,53.0,64.0,22.0,20.0,31.0,25.0,59.0,52.0,53.0,47.0,58.0,15.0,19.0,27.0,23.0,37.0,50.0,46.0
20250214,23,O3_8h,68.0,59.0,69.0,64.0,68.0,73.0,73.0,50.0,40.0,59.0,43.0,41.0,47.0,58.0,47.0,47.0,60.0,60.0,58.0,56.0,57.0,53.0,40.0,35.0,40.0,37.0,35.0,96.0,98.0,94.0,101.0,104.0,42.0,66.0,56.0,64.0,71.0,53.0,66.0,49.0,68.0,70.0,63.0,43.0,59.0,65.0,52.0,50.0,52.0,67.0,64.0,70.0,55.0,74.0,68.0,69.0,95.0,99.0,38.0,30.0,43.0,33.0,30.0,41.0,54.0,32.0,30.0,80.0,85.0,85.0,90.0,82.0,82.0,99.0,107.0,105.0,101.0,62.0,58.0,71.0,74.0,89.0,83.0,89.0,80.0,78.0,61.0,60.0,60.0,68.0,79.0,82.0,80.0
20250214,23,O3_8h_24h,59.0,47.0,58.0,58.0,36.0,60.0,56.0,37.0,31.0,49.0,31.0,33.0,37.0,26.0,32.0,44.0,50.0,47.0,47.0,47.0,46.0,38.0,32.0,26.0,32.0,29.0,20.0,73.0,88.0,85.0,93.0,93.0,16.0,50.0,40.0,44.0,54.0,38.0,49.0,42.0,52.0,58.0,51.0,42.0,59.0,56.0,33.0,30.0,32.0,52.0,46.0,51.0,36.0,63.0,53.0,61.0,65.0,79.0,20.0,5.0,16.0,6.0,6.0,5.0,29.0,17.0,8.0,78.0,80.0,76.0,84.0,80.0,74.0,78.0,87.0,84.0,79.0,37.0,27.0,44.0,42.0,77.0,73.0,78.0,68.0,69.0,38.0,34.0,42.0,44.0,63.0,71.0,62.0
20250214,23,CO,0.5,0.6,0.6,0.6,0.5,0.5,0.6,0.6,0.7,0.5,0.6,0.7,0.6,0.7,0.6,0.7,0.8,0.5,0.5,0.8,0.6,0.6,0.5,0.1,0.3,0.3,0.6,0.6,0.9,0.9,0.8,0.9,0.2,0.7,0.5,0.4,0.7,0.8,0.8,0.5,0.8,1.0,0.9,0.7,0.7,0.5,1.0,1.1,1.1,0.7,0.6,0.9,0.9,0.5,0.5,0.5,0.9,0.7,0.9,0.7,1.0,0.9,0.8,0.9,0.9,1.0,0.7,0.5,0.5,0.4,0.6,0.3,0.4,0.4,0.5,0.3,0.3,0.7,0.6,0.3,0.5,0.4,0.4,0.4,0.6,0.5,0.8,0.8,0.7,0.8,0.7,0.6,0.9
20250214,23,CO_24h,0.5,0.6,0.6,0.6,0.6,0.7,0.6,0.5,0.8,0.5,0.6,0.7,0.6,0.5,0.5,0.6,0.8,0.5,0.5,0.7,0.5,0.6,0.5,0.2,0.4,0.3,0.6,0.6,0.8,0.8,0.7,0.6,0.2,0.6,0.5,0.4,0.6,0.8,0.7,0.7,0.8,0.6,0.8,0.8,0.7,0.7,0.9,0.9,0.9,0.7,0.7,1.0,0.8,0.6,0.6,0.7,0.8,0.6,0.6,0.6,0.8,0.7,0.6,0.7,0.6,0.8,0.6,0.6,0.5,0.5,0.7,0.4,0.6,0.5,0.5,0.4,0.5,0.6,0.5,0.3,0.6,0.5,0.5,0.5,0.6,0.5,0.7,0.6,0.7,0.7,0.8,0.6,0.9
